GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reports/group-service,utils.module,Attrs,19,0,0,0,6,0,2,0,2,0
reports/group-service,utils.module,RequestInterceptor,160,0,22,0,42,0,16,0,5,0
reports/group-service,utils.module,AccessLogFilter,37,0,0,0,11,0,5,0,5,0
reports/group-service,utils.module,AllFilters,13,0,0,0,2,0,1,0,1,0
reports/group-service,utils.module,RequestIdAddFilter,36,0,2,0,7,0,4,0,3,0
reports/sb-utils,org.sunbird.util,LoggerUtil,220,0,16,0,54,0,20,0,12,0
reports/sb-utils,org.sunbird.util,JsonUtils,69,0,2,0,19,0,9,0,8,0
reports/sb-utils,org.sunbird.util,ProjectUtil,17,0,2,0,6,0,4,0,3,0
reports/sb-utils,org.sunbird.util,JsonKey,15,0,0,0,2,0,1,0,1,0
reports/sb-utils,org.sunbird.util,HttpClientUtil,579,0,52,0,137,0,34,0,8,0
reports/sb-utils,org.sunbird.util.helper,PropertiesCache,150,0,14,0,30,0,14,0,7,0
reports/sb-utils,org.sunbird.auth.verifier,Base64Util,178,0,24,0,34,0,21,0,8,0
reports/sb-utils,org.sunbird.auth.verifier,Base64Util.Encoder,1134,0,76,0,89,0,43,0,4,0
reports/sb-utils,org.sunbird.auth.verifier,Base64Util.Decoder,2419,0,55,0,92,0,36,0,4,0
reports/sb-utils,org.sunbird.auth.verifier,CryptoUtil,25,0,0,0,8,0,3,0,3,0
reports/sb-utils,org.sunbird.auth.verifier,Base64Util.Coder,3,0,0,0,1,0,1,0,1,0
reports/sb-utils,org.sunbird.auth.verifier,AccessTokenValidator,192,0,16,0,55,0,16,0,8,0
reports/sb-utils,org.sunbird.auth.verifier,KeyManager,146,0,0,0,36,0,9,0,9,0
reports/sb-utils,org.sunbird.auth.verifier,KeyData,23,0,0,0,10,0,5,0,5,0
